First Name,Credit Account Number,Identification Number,Date of Birth,Address,Phone Number,Checking Account Number,Checking Starting Balance,Savings Account Number,Savings Starting Balance,Last Name,Credit Max,Credit Starting Balance
Daniel,3078,79,5-Mar-39,"500 W. University Ave, El Paso, TX 79968",(915) 747-5042,1078,857.56,2078,3364.79,A,7985,-786.93
Derek,3048,49,5-May-41,"500 W. University Ave, El Paso, TX 79968",(915) 747-5012,1048,1845.56,2048,3352.49,Aguirre,8899,-58.57
Jafar,3017,18,20-Jan-83,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1017,518.07,2017,2220.54,Aladdin,3029,-406.48
Nathan,3075,76,6-Aug-94,"500 W. University Ave, El Paso, TX 79968",(915) 747-5039,1075,1352.3,2075,132.29,Aun,8789,-1240.71
Alex,3037,38,19-Oct-65,"500 W. University Ave, El Paso, TX 79968",(915) 747-5001,1037,85.09,2037,516.33,Avila,3484,-1827.58
Daniel,3079,80,25-Dec-18,"500 W. University Ave, El Paso, TX 79968",(915) 747-5043,1079,362.4,2079,2413.6,B,8357,-1911.51
Gavin,3053,54,16-Sep-58,"500 W. University Ave, El Paso, TX 79968",(915) 747-5017,1053,1734.37,2053,4768.87,Baechle,5352,-886.85
David,3047,48,5-May-98,"500 W. University Ave, El Paso, TX 79968",(915) 747-5011,1047,1076.98,2047,3271.72,Baptiste,7772,-281.86
Alfonso,3038,39,13-Mar-01,"500 W. University Ave, El Paso, TX 79968",(915) 747-5002,1038,474.39,2038,3447.36,Beltran,3177,-866.29
Dafne,3046,47,12-Jul-72,"500 W. University Ave, El Paso, TX 79968",(915) 747-5010,1046,519.88,2046,1812.87,Bencomo,8798,-1863.49
Laura,3063,64,7-Aug-04,"500 W. University Ave, El Paso, TX 79968",(915) 747-5027,1063,1506.74,2063,4347.22,Blanco,6487,-1050.73
Brandon,3043,44,17-Oct-53,"500 W. University Ave, El Paso, TX 79968",(915) 747-5007,1043,355.39,2043,3764.74,Bustamante,6698,-1452.54
Daniel,3080,81,25-May-47,"500 W. University Ave, El Paso, TX 79968",(915) 747-5044,1080,909.74,2080,342.74,C,9400,-505.4
Cesar,3044,45,22-Jun-89,"500 W. University Ave, El Paso, TX 79968",(915) 747-5008,1044,1806.19,2044,1685.66,Cabrera,9182,-1906.17
Roberto,3072,73,21-Oct-02,"500 W. University Ave, El Paso, TX 79968",(915) 747-5036,1072,1152.39,2072,2408.91,Carrasco,9319,-160
Lidice,3065,66,27-Jan-84,"500 W. University Ave, El Paso, TX 79968",(915) 747-5029,1065,1942.67,2065,655.67,Castro Jimenez,4080,-1930.17
Alyssandra,3040,41,30-Aug-32,"500 W. University Ave, El Paso, TX 79968",(915) 747-5004,1040,1169.49,2040,1375.06,Cordero,5166,-1725.64
Daniel,3081,82,7-Oct-01,"500 W. University Ave, El Paso, TX 79968",(915) 747-5045,1081,731.6,2081,3235.49,D,9172,-883.24
Minh,3069,70,21-Dec-09,"500 W. University Ave, El Paso, TX 79968",(915) 747-5033,1069,623.42,2069,1691.78,Dang,5351,-1966.94
Cruella,3021,22,10-Mar-62,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1021,1132.61,2021,4261.53,De Vil,7949,-319.71
Oscar,3070,71,14-Nov-07,"500 W. University Ave, El Paso, TX 79968",(915) 747-5034,1070,1450.22,2070,529.74,Decena,8674,-689.71
Goofy,3003,4,5-Mar-51,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1003,1456.69,2003,884.26,Disney,8647,-141.39
Pluto,3004,5,20-Mar-37,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1004,1549.67,2004,1622.73,Disney,5415,-1289.68
Chip,3005,6,25-Aug-05,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1005,32.84,2005,3687.14,Disney,8089,-1451.7
Dale,3006,7,19-Aug-12,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1006,894.1,2006,4091.61,Disney,3219,-53.21
Cinderella,3007,8,3-Mar-47,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1007,915.54,2007,2977.94,Disney,7415,-4.16
Ariel,3008,9,15-Apr-70,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1008,1581.97,2008,729.5,Disney,7822,-1810.55
Jasmine,3009,10,17-Nov-91,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1009,633.94,2009,1087.1,Disney,9736,-1797.38
Aladdin,3010,11,11-Oct-28,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1010,140.78,2010,3431.15,Disney,7398,-1989.22
Simba,3011,12,24-Oct-12,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1011,1336.79,2011,373.47,Disney,4931,-1220.11
