From First Name,From Last Name,From Where,Action,To First Name,To Last Name,To Where,Action Amount
Mickey,Mouse,Checking,pays,Donald,Duck,Checking,100
Mickey,Mouse,Savings,transfers,Mickey,Mouse,Checking,400
Mickey,Mouse,Savings,inquires,,,,
Mickey,Mouse,Checking,withdraws,,,,100
,,,deposits,Mickey,Mouse,Savings,500
Mickey,Mouse,Savings,transfers,Mickey,Mouse,Credit,300
,,,deposits,Alberto,Miranda,Checking,5000
,,,deposits,Alex,Avila,Checking,5000
,,,deposits,Alfonso,Beltran,Checking,5000
,,,deposits,Alfredo,Rodriguez,Checking,5000
,,,deposits,Alyssandra,Cordero,Checking,5000
,,,deposits,Anthony,Jasso,Checking,5000
,,,deposits,Arae,Zarzosa,Checking,5000
,,,deposits,Brandon,Bustamante,Checking,5000
,,,deposits,Cesar,Cabrera,Checking,5000
,,,deposits,Christopher,Reyes,Checking,5000
,,,deposits,Dafne,Bencomo,Checking,5000
,,,deposits,David,Baptiste,Checking,5000
,,,deposits,Derek,Aguirre,Checking,5000
,,,deposits,Eduardo,Garcia,Checking,5000
,,,deposits,Ervey,Montes,Checking,5000
,,,deposits,Estevan,Ramos,Checking,5000
,,,deposits,Federico,Marin,Checking,5000
,,,deposits,Gavin,Baechle,Checking,5000
,,,deposits,Gildardo,Orea,Checking,5000
,,,deposits,Grecia,Navarrete,Checking,5000
,,,deposits,Hernan,Garcia,Checking,5000
,,,deposits,Isaiah,Landin,Checking,5000
,,,deposits,Jose,Rodriguez Ortega,Checking,5000
,,,deposits,Joseph,Medina - Sandoval,Checking,5000
,,,deposits,Juan,Gutierrez,Checking,5000
,,,deposits,Juan,Rabelo,Checking,5000
,,,deposits,Judith,Garcia,Checking,5000
,,,deposits,Laura,Blanco,Checking,5000
,,,deposits,Laurence,Labayen,Checking,5000
,,,deposits,Lidice,Castro Jimenez,Checking,5000
,,,deposits,Manuel,Melendez Lujan,Checking,5000
,,,deposits,Manuel,Ruvalcaba,Checking,5000
,,,deposits,Mauricio,Ornelas-Gutierrez,Checking,5000
,,,deposits,Minh,Dang,Checking,5000
,,,deposits,Oscar,Decena,Checking,5000
,,,deposits,Robert,Evans,Checking,5000
,,,deposits,Roberto,Carrasco,Checking,5000
,,,deposits,Sofia,Hernandez,Checking,5000
,,,deposits,Yulianna,Torres,Checking,5000
Alberto,Miranda,Checking,pays,Daniel,Mejia,Checking,1000
Alex,Avila,Checking,pays,Daniel,Mejia,Checking,1000
Alfonso,Beltran,Checking,pays,Daniel,Mejia,Checking,1000
Alfredo,Rodriguez,Checking,pays,Daniel,Mejia,Checking,1000
Alyssandra,Cordero,Checking,pays,Daniel,Mejia,Checking,1000
Anthony,Jasso,Checking,pays,Daniel,Mejia,Checking,1000
Arae,Zarzosa,Checking,pays,Daniel,Mejia,Checking,1000
Brandon,Bustamante,Checking,pays,Daniel,Mejia,Checking,1000
Cesar,Cabrera,Checking,pays,Daniel,Mejia,Checking,1000
Christopher,Reyes,Checking,pays,Daniel,Mejia,Checking,1000
Dafne,Bencomo,Checking,pays,Daniel,Mejia,Checking,1000
David,Baptiste,Checking,pays,Daniel,Mejia,Checking,1000
Derek,Aguirre,Checking,pays,Daniel,Mejia,Checking,1000
Eduardo,Garcia,Checking,pays,Daniel,Mejia,Checking,1000
Ervey,Montes,Checking,pays,Daniel,Mejia,Checking,1000
Estevan,Ramos,Checking,pays,Daniel,Mejia,Checking,1000
Federico,Marin,Checking,pays,Daniel,Mejia,Checking,1000
Gavin,Baechle,Checking,pays,Daniel,Mejia,Checking,1000
Gildardo,Orea,Checking,pays,Daniel,Mejia,Checking,1000
Grecia,Navarrete,Checking,pays,Daniel,Mejia,Checking,1000
Hernan,Garcia,Checking,pays,Daniel,Mejia,Checking,1000
Isaiah,Landin,Checking,pays,Daniel,Mejia,Checking,1000
Jose,Rodriguez Ortega,Checking,pays,Daniel,Mejia,Checking,1000
Joseph,Medina - Sandoval,Checking,pays,Daniel,Mejia,Checking,1000
Juan,Gutierrez,Checking,pays,Daniel,Mejia,Checking,1000
