Identification Number,First Name,Last Name,Date of Birth,Address,Phone Number,Checking Account Number,Checking Starting Balance,Savings Account Number,Savings Starting Balance,Credit Account Number,Credit Max,Credit Starting Balance
43,Arae,Zarzosa,20-Sep-14,"500 W. University Ave, El Paso, TX 79968",(915) 747-5006,1042,6023.37,2042,4248.79,3042,8629.0,-268.92
5,Pluto,Disney,20-Mar-37,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1004,1509.75,2004,1545.73,3004,5415.0,-1289.68
17,Buzz,Lightyear,12-Mar-63,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1016,629.61,2016,33.53,3016,3624.0,-1215.99
51,Ervey,Montes,5-Mar-59,"500 W. University Ave, El Paso, TX 79968",(915) 747-5014,1050,5618.89,2050,1304.98,3050,5439.0,-677.71
37,Alberto,Miranda,5-Oct-38,"500 W. University Ave, El Paso, TX 79968",(915) 747-5000,1036,4523.05,2036,3710.89,3036,3649.0,-150.6
9,Ariel,Disney,15-Apr-70,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1008,1535.09,2008,672.5,3008,7822.0,-1810.55
64,Laura,Blanco,7-Aug-04,"500 W. University Ave, El Paso, TX 79968",(915) 747-5027,1063,5506.74,2063,4347.22,3063,6487.0,-1050.73
72,Robert,Evans,8-Aug-55,"500 W. University Ave, El Paso, TX 79968",(915) 747-5035,1071,5223.55,2071,2907.59,3071,5198.0,-329.08
33,Hercules,Disney,30-Jun-66,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1032,1270.03,2032,1303.27,3032,5094.0,-1855.19
75,Yulianna,Torres,20-Aug-92,"500 W. University Ave, El Paso, TX 79968",(915) 747-5038,1074,5064.6900000000005,2074,3391.57,3074,5431.0,-1545.62
54,Gavin,Baechle,16-Sep-58,"500 W. University Ave, El Paso, TX 79968",(915) 747-5017,1053,5734.37,2053,4768.87,3053,5352.0,-886.85
39,Alfonso,Beltran,13-Mar-01,"500 W. University Ave, El Paso, TX 79968",(915) 747-5002,1038,4490.02,2038,3447.36,3038,3177.0,-866.29
20,Beast,Disney,16-Aug-98,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1019,1734.19,2019,4398.81,3019,7687.0,-160.2
28,Kaa,Disney,22-Feb-69,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1027,830.93,2027,423.8,3027,3237.0,-864.26
4,Goofy,Disney,5-Mar-51,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1003,1364.06,2003,803.26,3003,8647.0,-141.39
32,Quasimodo,Disney,17-Sep-71,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1031,457.99,2031,2302.79,3031,5023.0,-1454.15
71,Oscar,Decena,14-Nov-07,"500 W. University Ave, El Paso, TX 79968",(915) 747-5034,1070,5479.47,2070,529.74,3070,8674.0,-689.71
24,Simba,King,21-Dec-35,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1023,1382.74,2023,1684.46,3023,8835.0,-1863.46
68,Manuel,Ruvalcaba,30-Dec-42,"500 W. University Ave, El Paso, TX 79968",(915) 747-5031,1067,4870.6,2067,1038.13,3067,5787.0,-326.57
21,Belle,Disney,5-Oct-54,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1020,517.81,2020,2346.75,3020,8396.0,-1024.19
27,Captaiin,Hook,12-May-01,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1026,369.27,2026,3209.28,3026,9203.0,-1813.88
69,Mauricio,Ornelas-Gutierrez,7-Aug-36,"500 W. University Ave, El Paso, TX 79968",(915) 747-5032,1068,4228.62,2068,1218.43,3068,6395.0,-1129.63
41,Alyssandra,Cordero,30-Aug-32,"500 W. University Ave, El Paso, TX 79968",(915) 747-5004,1040,5169.49,2040,1375.06,3040,5166.0,-1725.64
67,Manuel,Melendez Lujan,18-Mar-36,"500 W. University Ave, El Paso, TX 79968",(915) 747-5030,1066,5336.93,2066,4334.35,3066,7545.0,-1003.98
47,Dafne,Bencomo,12-Jul-72,"500 W. University Ave, El Paso, TX 79968",(915) 747-5010,1046,4559.17,2046,1812.87,3046,8798.0,-1863.49
18,Jafar,Aladdin,20-Jan-83,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1017,449.71000000000004,2017,2220.54,3017,3029.0,-406.48
12,Simba,Disney,24-Oct-12,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1011,1230.5,2011,273.47,3011,4931.0,-1220.11
38,Alex,Avila,19-Oct-65,"500 W. University Ave, El Paso, TX 79968",(915) 747-5001,1037,4125.01,2037,516.33,3037,3484.0,-1827.58
30,Pinocchio,Disney,20-Mar-08,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1029,1246.66,2029,1412.45,3029,9149.0,-14.76
36,Stitch,Disney,3-Feb-28,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1035,358.07,2035,4919.61,3035,8172.0,-16.87
15,Peter,Pan,29-May-87,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1014,41.62,2014,2152.52,3014,5699.0,-1137.78
10,Jasmine,Disney,17-Nov-91,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1009,511.05000000000007,2009,1028.1,3009,9736.0,-1797.38
102,Daniel,Y,12-Mar-84,"500 W. University Ave, El Paso, TX 79968",(915) 747-5065,1101,738.93,2101,3810.87,3101,6534.0,-199.91
103,Daniel,Z,9-Aug-56,"500 W. University Ave, El Paso, TX 79968",(915) 747-5066,1102,1825.29,2102,4635.0,3102,5697.0,-649.08
63,Judith,Garcia,7-Mar-97,"500 W. University Ave, El Paso, TX 79968",(915) 747-5026,1062,5752.37,2062,3508.77,3062,5693.0,-444.56
29,Evil,Queen,19-Dec-42,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,1028,238.09,2028,4758.83,3028,7647.0,-367.09
61,Juan,Gutierrez,9-Jan-89,"500 W. University Ave, El Paso, TX 79968",(915) 747-5024,1060,4567.429999999999,2060,3227.73,3060,9566.0,-1581.21
94,Daniel,Q,7-Feb-71,"500 W. University Ave, El Paso, TX 79968",(915) 747-5057,1093,498.13,2093,205.32,3093,4002.0,-673.84
62,Juan,Rabelo,29-Apr-52,"500 W. University Ave, El Paso, TX 79968",(915) 747-5025,1061,5851.26,2061,3607.48,3061,3109.0,-674.27
